date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:03	44106/44106	---M-Z	200	added ('OK')	text/html	etag:%22ac4a-6241bd31364d7-gzip%22	https://buddsoft.com/templates/21/	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/index.html	(from )
18:57:04	113/113	---MC-	200	added ('OK')	text/plain	date:Mon,%2017%20Feb%202025%2013:27:13%20GMT	https://buddsoft.com/robots.txt		(from )
18:57:06	30451/30451	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Feb%202025%2013:27:16%20GMT	https://buddsoft.com/templates/21/img/favicon.ico	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/img/favicon.0.delayed	(from https://buddsoft.com/templates/21/)
18:57:07	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://buddsoft.com/templates/21/)
18:57:09	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://buddsoft.com/templates/21/)
18:57:09	16953/16953	---M--	200	added ('OK')	text/css	etag:%224239-6241bd7d2ed64%22	https://buddsoft.com/templates/21/lib/animate/animate.min.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/lib/animate/animate.min.css	(from https://buddsoft.com/templates/21/)
18:57:09	2936/2936	---M--	200	added ('OK')	text/css	etag:%22b78-6241bdb55d11d%22	https://buddsoft.com/templates/21/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/lib/owlcarousel/assets/owl.carousel.min.css	(from https://buddsoft.com/templates/21/)
18:57:09	9058/9058	---M--	200	added ('OK')	text/css	etag:%222362-6241bdb5c1a88%22	https://buddsoft.com/templates/21/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://buddsoft.com/templates/21/)
18:57:10	164031/164031	---M--	200	added ('OK')	text/css	etag:%22280bf-6241bd593fda5%22	https://buddsoft.com/templates/21/css/bootstrap.min.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/css/bootstrap.min.css	(from https://buddsoft.com/templates/21/)
18:57:10	9428/9428	---M--	200	added ('OK')	text/css	etag:%2224d4-6241bd593e24d%22	https://buddsoft.com/templates/21/css/style.css	C:/Users/HP/Desktop/Hirex%20Solutions%20Pvt%20Limited/architecturewebsite/buddsoft.com/templates/21/css/style.css	(from https://buddsoft.com/templates/21/)
